Email;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Framecount;gesture;SessionID;Timestamp
anonymous;-22;-11;-25;-59;44;29;-39;-2;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1302
anonymous;5;8;18;104;21;40;92;8;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1382
anonymous;2;-7;-32;-90;-11;-43;81;-13;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1382
anonymous;-10;-14;11;59;-50;-25;-66;-7;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1382
anonymous;-7;-3;-55;-49;28;41;-84;1;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1382
anonymous;8;26;103;102;15;16;59;5;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1382
anonymous;0;-3;-65;-46;-12;-28;85;-10;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;-6;-19;-68;-107;-33;-20;-61;3;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;1;20;99;69;56;-7;-93;2;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;-13;-12;-64;-116;-10;-9;41;-6;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;8;5;-7;88;23;-20;48;-2;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;1;3;-10;80;-13;30;-53;-4;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;-10;-6;-11;26;1;11;-9;1;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;-4;-5;-8;-82;14;-8;53;-1;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;7;2;13;52;14;-36;39;-3;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;0;3;25;54;-28;-13;-38;-2;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1392
anonymous;9;24;41;-49;-1;31;32;14;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1402
anonymous;-2;-3;-1;12;-10;-16;44;-4;2;wrist_back;ac99d09a-28f0-4a8d-962c-1b18232dc366;2025-08-18 09:50:03.1402
